Power,Focus,Agility,Resilience,Energy,Intuition,CharacterClass,SurvivalChance
40,10,20,25,0,5,Fighter,72
35,5,25,20,5,10,Fighter,65
30,5,30,10,10,15,Fighter,50
45,5,15,30,0,5,Fighter,78
50,0,10,35,0,5,Fighter,82
25,10,25,30,5,5,Fighter,68
40,5,20,20,5,10,Fighter,70
35,10,10,35,5,5,Fighter,73
30,10,15,25,10,10,Fighter,60
30,15,20,15,10,10,Fighter,55
28,1,6,12,2,1,Fighter,51
36,7,13,24,5,6,Fighter,65
37,5,13,39,12,9,Fighter,79
29,13,21,27,10,12,Fighter,60
39,3,12,36,1,2,Fighter,77
35,15,20,32,6,1,Fighter,63
47,0,9,29,8,14,Fighter,84
46,10,9,37,9,3,Fighter,83
48,15,17,35,8,12,Fighter,76
26,1,21,17,8,14,Fighter,55
27,15,15,22,15,12,Fighter,40
32,11,18,20,15,12,Fighter,52
22,10,21,16,1,13,Fighter,39
48,2,8,22,3,14,Fighter,56
49,11,7,27,12,10,Fighter,80
49,2,6,19,4,5,Fighter,42
47,11,20,19,0,13,Fighter,48
47,4,21,19,1,11,Fighter,38
38,14,11,36,11,4,Fighter,60
29,6,11,34,2,15,Fighter,37
27,1,20,16,14,4,Fighter,55
26,2,19,39,5,8,Fighter,66
44,10,10,30,3,15,Fighter,40
25,9,24,21,15,12,Fighter,49
26,15,19,10,11,11,Fighter,35
28,10,23,30,12,13,Fighter,38
49,11,5,23,8,11,Fighter,36
48,14,23,18,5,2,Fighter,36
33,8,18,16,12,12,Fighter,53
41,3,15,36,13,8,Fighter,80
30,11,15,25,7,9,Fighter,70
25,10,16,37,12,0,Fighter,44
39,1,14,26,0,1,Fighter,64
34,8,12,38,4,10,Fighter,57
23,3,12,11,14,8,Fighter,30
25,2,22,10,3,3,Fighter,47
50,7,7,37,7,4,Fighter,81
45,11,19,13,10,1,Fighter,36
26,0,18,36,2,11,Fighter,47
33,7,20,20,1,10,Fighter,59
46,15,23,20,9,3,Fighter,59
21,14,17,24,6,10,Fighter,62
47,15,9,37,2,4,Fighter,76
40,11,15,35,15,12,Fighter,82
38,1,24,16,9,15,Fighter,53
46,13,16,26,0,3,Fighter,67
41,4,22,16,6,4,Fighter,51
47,3,13,15,1,7,Fighter,43
37,11,24,21,12,3,Fighter,59
10,50,5,5,20,10,Mage,80
5,55,5,5,25,5,Mage,85
15,45,10,5,15,10,Mage,75
10,40,15,5,20,10,Mage,78
10,35,10,10,20,15,Mage,72
20,30,10,10,20,10,Mage,65
15,35,10,15,15,10,Mage,68
20,40,5,5,20,10,Mage,74
25,30,10,10,15,10,Mage,60
30,25,10,10,15,10,Mage,55
18,57,15,10,24,11,Mage,61
7,52,10,2,24,8,Mage,57
11,49,6,5,21,12,Mage,51
11,60,13,11,24,5,Mage,61
9,45,7,15,30,15,Mage,56
2,56,7,4,26,8,Mage,59
6,51,8,17,24,13,Mage,58
8,53,6,20,21,14,Mage,54
7,48,7,14,26,16,Mage,56
17,58,8,7,20,8,Mage,58
9,46,10,3,25,10,Mage,54
11,57,14,1,21,14,Mage,60
15,58,12,14,23,18,Mage,63
7,58,6,20,26,16,Mage,62
12,59,5,8,24,12,Mage,58
0,53,12,11,26,13,Mage,60
16,52,7,7,30,7,Mage,58
4,47,11,9,20,15,Mage,53
6,54,12,8,28,16,Mage,63
15,56,7,4,21,5,Mage,55
2,56,7,0,27,10,Mage,60
4,49,11,13,22,5,Mage,52
14,55,7,9,28,19,Mage,63
19,59,9,3,26,5,Mage,62
14,51,8,10,26,17,Mage,60
18,57,14,1,26,15,Mage,64
5,57,8,11,28,9,Mage,63
6,58,5,0,30,20,Mage,64
19,53,13,12,30,18,Mage,64
7,47,9,8,26,10,Mage,55
11,45,15,14,22,14,Mage,52
19,50,5,16,27,13,Mage,54
6,54,7,1,23,16,Mage,58
16,45,6,16,24,5,Mage,48
4,46,5,0,25,11,Mage,50
11,47,11,5,21,9,Mage,52
16,48,12,5,26,15,Mage,57
5,49,5,10,23,6,Mage,49
15,53,8,2,30,10,Mage,62
18,56,7,2,30,8,Mage,62
8,48,12,0,26,8,Mage,55
7,60,15,0,26,6,Mage,63
17,56,7,9,28,13,Mage,62
19,51,6,16,29,20,Mage,60
8,45,7,8,24,9,Mage,51
0,47,15,19,22,8,Mage,52
5,45,8,7,27,8,Mage,54
2,58,6,17,22,20,Mage,60
15,46,8,8,25,7,Mage,53
15,10,40,10,10,15,Assassin,70
10,15,35,10,10,20,Assassin,75
20,10,30,10,10,20,Assassin,68
10,20,30,10,10,20,Assassin,72
15,10,35,10,10,20,Assassin,74
10,10,40,5,10,25,Assassin,77
20,15,30,5,10,20,Assassin,65
25,10,30,5,10,20,Assassin,63
15,15,35,5,10,20,Assassin,69
20,10,25,10,10,25,Assassin,66
18,12,38,7,9,16,Assassin,71
14,14,36,8,8,18,Assassin,70
16,11,39,6,9,17,Assassin,72
13,13,37,7,8,19,Assassin,71
17,10,40,5,7,18,Assassin,73
15,12,35,6,10,20,Assassin,70
19,9,33,8,10,21,Assassin,69
12,15,38,5,9,18,Assassin,72
14,13,36,7,8,19,Assassin,70
16,11,34,6,10,20,Assassin,68
15,10,40,5,10,15,Assassin,74
11,14,37,7,9,18,Assassin,71
18,10,35,6,8,19,Assassin,42
13,12,38,5,10,17,Assassin,36
16,11,39,7,9,16,Assassin,35
14,13,36,6,8,18,Assassin,50
19,9,33,5,10,21,Assassin,42
15,10,40,7,9,15,Assassin,44
12,14,37,6,8,18,Assassin,39
17,11,35,5,10,19,Assassin,37
14,13,38,7,9,17,Assassin,49
15,10,39,6,8,18,Assassin,39
18,9,34,5,10,20,Assassin,47
13,12,36,7,8,19,Assassin,41
16,11,37,6,9,18,Assassin,47
15,10,40,5,10,15,Assassin,50
12,14,35,6,8,20,Assassin,40
17,11,38,7,9,16,Assassin,48
14,13,36,5,10,18,Assassin,40
15,10,39,6,8,17,Assassin,51
18,9,34,7,9,19,Assassin,45
13,12,37,5,10,18,Assassin,37
16,11,35,6,8,20,Assassin,53
15,10,40,7,9,15,Assassin,50
12,14,36,5,10,18,Assassin,46
17,11,38,6,8,17,Assassin,43
14,13,35,7,9,19,Assassin,52
28,12,44,10,4,16,Assassin,61
15,10,40,10,10,15,Assassin,70
10,15,35,10,10,20,Assassin,75
20,10,30,10,10,20,Assassin,68
10,20,30,10,10,20,Assassin,72
15,10,35,10,10,20,Assassin,74
10,10,40,5,10,25,Assassin,77
20,15,30,5,10,20,Assassin,65
25,10,30,5,10,20,Assassin,63
15,15,35,5,10,20,Assassin,69
20,10,25,10,10,25,Assassin,66
90,2,2,2,2,2,One Trick,12
2,90,2,2,2,2,One Trick,15
2,2,90,2,2,2,One Trick,18
2,2,2,90,2,2,One Trick,14
2,2,2,2,90,2,One Trick,13
2,2,2,2,2,90,One Trick,11
80,10,5,2,2,1,One Trick,19
5,80,5,5,3,2,One Trick,17
5,5,80,5,3,2,One Trick,16
85,5,3,4,2,1,One Trick,13
3,85,5,3,3,1,One Trick,14
4,4,85,3,3,1,One Trick,15
4,3,3,3,85,2,One Trick,12
3,3,3,2,2,85,One Trick,14
90,3,3,2,2,0,One Trick,8
2,90,2,2,2,2,One Trick,9
2,2,90,2,2,2,One Trick,12
16,17,17,17,17,16,Untrained,50
15,17,18,16,17,17,Untrained,49
17,16,17,17,17,16,Untrained,48
16,16,17,17,17,17,Untrained,51
17,17,16,16,17,17,Untrained,50
18,16,16,17,17,16,Untrained,47
16,18,17,16,17,16,Untrained,49
17,16,17,16,16,18,Untrained,48
17,16,18,16,16,17,Untrained,50
16,17,17,18,16,16,Untrained,46
